Comentario_Limpio;Categoria_N1;Categoria_N2;Categoria_N3;Sentimiento;Palabras;Usa_Exclusiones
no estoy de acuerdo con el mecanismo de recepcion de llamadas de un operador mecanico considero que la atencion debe ser directa con un personal idoneo;otros;agencias;Sin categoría N3;neutral;26;Sí
que no puedo aperturarle mi cuenta corriente ni por la web ni por plataforma ni por ninguna agencia me tienen paseando;otros;agencias;Sin categoría N3;neutral;21;Sí
todo bien;noespecifica;Sin categoría N2;Sin categoría N3;positivo;2;Sí
me responden otra cosa que no he solicitado;otros;bloqueo de cuenta;Sin categoría N3;neutral;8;Sí
no se porque me descuentan 1299 mensual si pedi una tarjeta de cero costo y sin mantenimiento;tarifas;comision;Sin categoría N3;neutral;17;Sí
en todo no puedo realizar ninguna transferencia ni pagar mis recibos pesimoooooo;funcionalidad;operaciones;no puede realizar monetarias;neutral;12;Sí
no llega notificacion a otros equipos que supuestamente deberian llegar ya que cumplen con los requisitos minimos;funcionalidad;constancias;no llega;neutral;17;Sí
cobran en exceso;tarifas;Sin categoría N2;Sin categoría N3;neutral;3;Sí
no me dieron la imformacion que solicite con caracter de urgencia y cuando me mandan el correo cualquier cosa menos lo solicitado;otros;bloqueo de cuenta;Sin categoría N3;neutral;22;Sí
todo;noespecifica;Sin categoría N2;Sin categoría N3;neutral;1;Sí
deberia de llegarme un codigo para buscar mi tarjeta de credito y no me llega;otros;prestamos;Sin categoría N3;neutral;15;Sí
mas personal para atencion;otros;agencias;Sin categoría N3;neutral;4;Sí
poner mas ventanillas para rapido atencion;otros;agencias;Sin categoría N3;neutral;6;Sí
mala la atencion;otros;reclamos;Sin categoría N3;negativo;3;Sí
g;noespecifica;Sin categoría N2;Sin categoría N3;neutral;1;Sí
porque tengo anos trabajando con ustedes realizo tengo mis ingresos y mis movimientos y jamas me han ofrecido alguna tarjeta o algun producto de ustedes pesimo servicio;funcionalidad;inestabilidad;mantenimiento;negativo;27;Sí
por que solo ya no quiero usar el bcp;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;9;Sí
me robaron y no estuvieron atentos;seguridad;fraudes;Sin categoría N3;neutral;6;Sí
no funciona;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;2;Sí
todo ok;noespecifica;Sin categoría N2;Sin categoría N3;neutral;2;Sí
mejor el sistema de prestamos con bajos intereses;otros;prestamos;no hay campanas;neutral;8;Sí
p0u7y88t69589o67896567iyu6u6i6u7iyyy776y65y87uii6;noespecifica;Sin categoría N2;Sin categoría N3;neutral;1;Sí
todo esta bien;noespecifica;Sin categoría N2;Sin categoría N3;positivo;3;Sí
que no demore las transacciones;funcionalidad;operaciones;Sin categoría N3;neutral;5;Sí
no funciona mi banca movil de bcp algunas veces me deja hacer la operacion y otras veces me aparece algo salio mal;funcionalidad;detalle de movimiento;Sin categoría N3;negativo;22;Sí
se agarraron mi dinero sin permiso;seguridad;movimientos no reconocidos;Sin categoría N3;neutral;6;Sí
muy lento;funcionalidad;inestabilidad;lentitud;negativo;2;Sí
ayudar no poner trabas;otros;Sin categoría N2;Sin categoría N3;neutral;4;Sí
uno de los problemasno entiendo porque es que no puedo hacer transacciones a otros bancos o incluso a otras cuentas bcp seria bueno que se nos mencione cuales son los posibles pasos a seguir para solucionar el problema;tarifas;comision;Sin categoría N3;neutral;38;Sí
la banca movil no es muy seguro tiene errores tiene que mejorar lo digo esto porque en octubre del ano pasado a mi hija le robaron el celular y de la banca movil le hicieron transferencia del bcp al banco continental a pesar que hemos presentado la denuncia hasta la fecha no se puede recuperar;seguridad;fraudes;Sin categoría N3;neutral;55;Sí
no cobrar comicion;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;3;Sí
la verdad hasta ahora no tengo ninguna complucaciones;Sin categoría N1;Sin categoría N2;Sin categoría N3;neutral;8;Sí
en la buena atencion al usuario por medio del wassap;otros;comentarios positivos;Sin categoría N3;neutral;10;Sí
en la app;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;3;Sí
la informacion mas detallada de los movimientos;funcionalidad;detalle de movimiento;Sin categoría N3;neutral;7;Sí
no solucionan reclamos;otros;reclamos;Sin categoría N3;negativo;3;Sí
ingresar con huella;funcionalidad;login;no puede ingresar;neutral;3;Sí
o;noespecifica;Sin categoría N2;Sin categoría N3;neutral;1;Sí
en el seguro que ofrecen en el cajero por equivocacion marque y se me cobraron;seguridad;Sin categoría N2;Sin categoría N3;neutral;15;Sí
me cobran de mantenimiento sin q yo aya sabido hasta ahora no me dan informacion;funcionalidad;inestabilidad;mantenimiento;neutral;15;Sí
nose porque ahora me cobran el deposito de bcp a bcp;otros;cajero;Sin categoría N3;neutral;11;Sí
me ofrecen un prestamo personal y no se puede realizar;otros;prestamos;no hay campanas;neutral;10;Sí
yo no realice esa transaccion fue estafa me enganaron;funcionalidad;detalle de movimiento;Sin categoría N3;neutral;9;Sí
porque piden o obligab a poner un codigo de seguridad o patron al celular cosa es que otras entidades no lo hacen tienen otros medios de seguridad eso deberian de cambiar;seguridad;prevencion de fraudes;Sin categoría N3;neutral;31;Sí
en el tiempo;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;3;Sí
el otro dia se realizo una compra de 30 soles sin mi consentimiento y sin mi permiso en este celular apple;seguridad;movimientos no reconocidos;Sin categoría N3;neutral;21;Sí
no me sirve solo yapeo utilizo;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;6;Sí
no todo es la banca movil porque los cajeros automaticos de ustedes no tienen soles disponibles solo dolares porque no tienen billetes chicos 20s 50s varios cajeros a la redonda de un lugar porque suspenden una tarjeta dia sabado o ya cuando uno tiene una emergencia de noche por ejemplo saliendo de un hospital y no hay un asesor humano para dar soporte y desbloquear la tarjeta porque solo un robot estupido que nos hace perder el tiempo para que no solucione nada no solo los rateros andan de noche tambien hay emergencias en las que uno necesita el dinero para movilizarse y uds deben tener un mecanismo de emergencia ayuda humana efectiva cruzando todas las seguridades del caso;otros;cajero;cantidad disponible;neutral;119;Sí
atencion al cliente;otros;reclamos;Sin categoría N3;neutral;3;Sí
que funcione bien siempre se cuelga;funcionalidad;inestabilidad;caida de sistema;neutral;6;Sí
asistente q sea una persona;otros;agencias;Sin categoría N3;neutral;5;Sí
ayer hice una transferencia a una cuenta en interbank de 285 soles a las 1052 de la manana y todavia no a llegado ese dinero todavia lo tengo que volver a transferir en partes y parece que va durar dias en terminar la operacion;funcionalidad;operaciones;no puede realizar monetarias;neutral;44;Sí
ya son 2 meses q no se puede activar el token digital;funcionalidad;token;no puede activar;neutral;12;Sí
cuenta con la opcion de activacion de token digital pero no he logrado activarlo;funcionalidad;token;no puede activar;neutral;14;Sí
mucha demora en las transferencias deberia ser mas rapido que 3 dias para la transferencia;funcionalidad;inestabilidad;lentitud;neutral;15;Sí
realizar su trabajo no decir por decir vamos a arreglar el problema y no hacer nada;funcionalidad;operaciones;Sin categoría N3;negativo;16;Sí
su atencion es pesima llevo casi un mes con un reclamo y nadie me a atencion he tenido q ingresarlos 3 veces para q recien cargue;otros;reclamos;Sin categoría N3;negativo;26;Sí
envie mis registros laborales con mi nomina y mis pagos para que me evaluaran para un credito personal o una tarjeta de credito y empezar a crear una vida crediticia y nunca me respondieron;otros;prestamos;Sin categoría N3;neutral;34;Sí
por seguridad y rapidez;seguridad;prevencion de fraudes;Sin categoría N3;neutral;4;Sí
sin comentarios;noespecifica;Sin categoría N2;Sin categoría N3;neutral;2;Sí
y;noespecifica;Sin categoría N2;Sin categoría N3;neutral;1;Sí
pedi mi estado de cuenta de la tarjeta de credito y en ningun momento me llego y mas bien me estan cobrando por algo que no llego;otros;prestamos;Sin categoría N3;neutral;27;Sí
deberian mejorar y debolber la plata cuando sieran una cuenta;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;10;Sí
no puedo hacer pago por plin por la app bcp;funcionalidad;operaciones;no puede realizar no especificado;neutral;10;Sí
en los prestamos;otros;prestamos;no hay campanas;neutral;3;Sí
se cuelga mucho no deja realizar operaciones;funcionalidad;inestabilidad;mantenimiento;neutral;7;Sí
no puedo realizar transferencias;funcionalidad;operaciones;no puede realizar no especificado;neutral;4;Sí
no me permite realizar pago con la entidad de caja cusco me llego un mensaje promocionando el pago de cualquier caja por medio de la app pero al momento de realizar el pago me sale error;funcionalidad;operaciones;Sin categoría N3;negativo;36;Sí
en brindar asesores para prestamos nadie se pone en contacto;otros;prestamos;no hay campanas;neutral;10;Sí
no ser muy lento;funcionalidad;inestabilidad;lentitud;negativo;4;Sí
poder realizar pagos de prestamos a cualquier hora y no restringuirlo en un horario;otros;agencias;Sin categoría N3;neutral;14;Sí
todo bien para mi;noespecifica;Sin categoría N2;Sin categoría N3;positivo;4;Sí
el 02 de diciembre presente un un reclamo desconociendo un cargo a mi cuenta y me dijeron que tengo que esperar 15 dias para dar detalle de la procedencia de dicho evento lo cual me parece inadmisible ya que deberian dar solucion inmediata y no de 2 semanas de espera;funcionalidad;operaciones;no puede realizar consultas;negativo;50;Sí
en todo mucha cola se espera mas de 5 minutos;Sin categoría N1;Sin categoría N2;Sin categoría N3;neutral;10;Sí
de ser efectivos;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;3;Sí
horrible;noespecifica;Sin categoría N2;Sin categoría N3;negativo;1;Sí
mas seguridad almomento de un robo;seguridad;movimientos no reconocidos;Sin categoría N3;neutral;6;Sí
para compras en internet debe activarse con tu celular;funcionalidad;no permite instalar app;Sin categoría N3;neutral;9;Sí
sin comentarios;noespecifica;Sin categoría N2;Sin categoría N3;neutral;2;Sí
capacitar al personal en todas las posibles operaciones que se puedan suscitar;otros;agencias;Sin categoría N3;neutral;12;Sí
en la atencion;otros;reclamos;Sin categoría N3;neutral;3;Sí
poder conversar con un asesor cuando tu logaritmo de la ia no entiende lo solicitado;otros;bloqueo de cuenta;Sin categoría N3;neutral;15;Sí
en todo nada funciona ni pagos ni transferencias tengo que cruzar los dedos cada vez que hago una operacion;funcionalidad;operaciones;Sin categoría N3;neutral;19;Sí
en dar mas promociones dctos y premios a los clientes;otros;promociones ofertas o sorteos;Sin categoría N3;neutral;10;Sí
pw que consulten con los duenos de las tarjetas antes de afiliar aun seguro;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;14;Sí
seguridad;seguridad;prevencion de fraudes;Sin categoría N3;neutral;1;Sí
