Comentario_Limpio;Categoria_N1;Categoria_N2;Categoria_N3;Sentimiento;Palabras;Usa_Exclusiones
seguimiento;noespecifica;Sin categoría N2;Sin categoría N3;neutral;1;Sí
no puedo realizar pagos al exterior llame por telefono y me indican que todo esta bien fui al banco y personal que labora tienen diferentes conceptos sobre procedimiento de pago al exterior demore mas de medio dia;otros;agencias;Sin categoría N3;neutral;37;Sí
sean mas precisos y tengan un canal de atencion con el tema de ando;diseno;Sin categoría N2;Sin categoría N3;neutral;14;Sí
por ahora no tengo adelantado de sueldo tampoco tengo prestamo por eso esta aplicacion no me sirve ok;otros;prestamos;no hay campanas;neutral;18;Sí
en muchas cosas mas;noespecifica;Sin categoría N2;Sin categoría N3;neutral;4;Sí
por que no puedo ver mi saldo en el app y ni en el yapeesta muy mal tengo que hacer un pago y no se con cuanto cuento;funcionalidad;operaciones;no puede realizar consultas;negativo;28;Sí
no dan solucion;otros;reclamos;Sin categoría N3;neutral;3;Sí
por mas que trabajo con ese banco nunca me dan ni prestamos ni tarjeta;otros;prestamos;no hay campanas;neutral;14;Sí
0;noespecifica;Sin categoría N2;Sin categoría N3;neutral;1;Sí
su sistema de atenvion al cliente es bajo ahora en mi banca mobil no puedo realuzar transferencias a otras cuentas;funcionalidad;inestabilidad;Sin categoría N3;neutral;20;Sí
que nos debe otorgar prestamo por escolaridad;otros;prestamos;no hay campanas;neutral;7;Sí
no puedo hacer ni transferencias ni pagos de servicios unicamente permite pagar los prestamos del mismo bcp no puedo realizar otros movimientos;otros;prestamos;no hay campanas;neutral;22;Sí
no me gusta;noespecifica;Sin categoría N2;Sin categoría N3;positivo;3;Sí
seguridad de la cuentas bancarias digital y atencion rapida ante caso de robo o fraude digital;seguridad;fraudes;Sin categoría N3;neutral;16;Sí
que algunas veces no hay servicio y se cae constantemente;funcionalidad;inestabilidad;mantenimiento;neutral;10;Sí
todo;noespecifica;Sin categoría N2;Sin categoría N3;neutral;1;Sí
seguridad y estabilidad;seguridad;prevencion de fraudes;Sin categoría N3;neutral;3;Sí
excelente servicio;funcionalidad;inestabilidad;mantenimiento;positivo;2;Sí
no me dijeron una informacion correcta tuve q ir agencia y ahi recien me dijeron q paso con el saldo que estaba en mi tarjeta;otros;informacion;falta de informacion;neutral;25;Sí
es una porqueria banco maldito;tarifas;Sin categoría N2;Sin categoría N3;neutral;5;Sí
hasta hora no tengo problemas con la app;funcionalidad;Sin categoría N2;Sin categoría N3;negativo;8;Sí
muy lento;funcionalidad;inestabilidad;lentitud;negativo;2;Sí
mantener un orden al brindar la informacion parece paporreta y que corre mientras da las explicaciones de mi consulta;funcionalidad;operaciones;no puede realizar consultas;neutral;19;Sí
mi recomendacion es porque no puedo enviar yape siempre tengo problemas con el aplicativo es posible que voy a irme al banco a bloquear todo;tarifas;Sin categoría N2;Sin categoría N3;negativo;25;Sí
que sea mas facil para nosotros los mayores de 60 anos;otros;Sin categoría N2;Sin categoría N3;neutral;11;Sí
no sirve bueno el mio por que ya cambie asta nueva tarjeta pague instale nuevamente la app y sigue igual no me deja enviar dinero siempre aparece que token incorrecto en el banco tanbien lo unico que diesen esque se actualiza en un momento y ya estoy como 4 meses con esto no trabaja como antes no tenia ese problema;funcionalidad;token;no funciona;neutral;60;Sí
quise hacer una transferencia de dinero y no se pudo concretar por problemas en los aplicativos;funcionalidad;operaciones;Sin categoría N3;negativo;16;Sí
deberian mejorar en asignar a asesores para llamar a sus clientes y ver la posibilidad de obtener un credito con ustedes ya llevamos anos trabajando con ustedes y aum no nos ofrecen uno;otros;prestamos;Sin categoría N3;neutral;33;Sí
siempre hay cosas que mejorar;noespecifica;Sin categoría N2;Sin categoría N3;positivo;5;Sí
acaba de desaparecer lo que me han yapeado intente hacer un yape varias veces de tanto insistir desaparecio mi dinero;funcionalidad;operaciones;Sin categoría N3;neutral;20;Sí
atencion super rapido;otros;reclamos;Sin categoría N3;positivo;3;Sí
es muy lenta su aplicativo hay dias que esta fuera de servicio muy cosntante en los ultimos meses;funcionalidad;inestabilidad;mantenimiento;neutral;18;Sí
coloco mi contrasena y se cierra;funcionalidad;login;Sin categoría N3;neutral;6;Sí
la pantalla de pago si no logras enviarla a alguien se borra y no la puedes ver si no es hasta que llegue al correo;funcionalidad;operaciones;no puede realizar no especificado;neutral;25;Sí
crear con ia respuestas escritas y visuales ante cualquier consulta sobre algun inconveniente que se le pueda presentar por ejemplo se extravio mi tarjeta y necesito urgente una copia;funcionalidad;operaciones;no puede realizar consultas;neutral;29;Sí
mala atencion;otros;reclamos;Sin categoría N3;negativo;2;Sí
aplicar los descuentos ofrecidos;tarifas;comision;Sin categoría N3;neutral;4;Sí
aveces se cuelga y no se puede ingresar a realizar una transferencia sugiero mejorar en ese aspecto pero despues todo bien;funcionalidad;inestabilidad;mantenimiento;positivo;21;Sí
pesima atencion a pesar que e pagado de manera puntual sin retrasos y llevo anos siendo su cliente me bajaron mi linea de credito sin previo aviso;otros;centro de contacto;Sin categoría N3;neutral;27;Sí
estoy queriendo pagar mi telefono de claro y cuando estoy por confirmar me sale que esta sucediendo un error con el token digital;funcionalidad;token;no funciona;negativo;23;Sí
la atencion en plataforma mucha preferencia en este nuevo sistema que an colocado en san vicente de canete mas de una hora en espera;otros;reclamos;Sin categoría N3;neutral;24;Sí
me comunique por todos los medios del bcp para soluciones de pago y no se comunican con migo van 15 dias;funcionalidad;operaciones;Sin categoría N3;neutral;21;Sí
en todo;noespecifica;Sin categoría N2;Sin categoría N3;neutral;2;Sí
llevo mas de un ano con mi tarjeta y hasta ahora no me solucionan poder transferir dinero a otras cuentas solo funciona mi yape pesimo servicio;funcionalidad;inestabilidad;mantenimiento;negativo;26;Sí
mostrar hora y nombre del que remitente;diseno;Sin categoría N2;Sin categoría N3;neutral;7;Sí
bien;noespecifica;Sin categoría N2;Sin categoría N3;positivo;1;Sí
transferencia al exterior;funcionalidad;operaciones;Sin categoría N3;neutral;3;Sí
esta bien;noespecifica;Sin categoría N2;Sin categoría N3;positivo;2;Sí
traten de dar unasolucion a las llamadas qe uno haces;otros;Sin categoría N2;Sin categoría N3;neutral;10;Sí
que funcione;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;2;Sí
no soy de mucho recordar a las amistades;Sin categoría N1;Sin categoría N2;Sin categoría N3;neutral;8;Sí
que mejoren los pagos por el aplicativo nunca pude realizar compras con mi cuenta en dolares;funcionalidad;operaciones;Sin categoría N3;neutral;16;Sí
sus ejecutivos mienten descaradamente;otros;agencias;Sin categoría N3;neutral;4;Sí
mas rapido yfacil de ingresar;funcionalidad;login;no puede ingresar;positivo;5;Sí
no deberian de cobrar por hacer una transferencia a otro banco;tarifas;comision;transferencia interbancaria;neutral;11;Sí
muy caro la menbresia demasiado alto;diseno;Sin categoría N2;Sin categoría N3;neutral;6;Sí
reembolsos;noespecifica;Sin categoría N2;Sin categoría N3;neutral;1;Sí
no hacer avisos falsos por todas las plataformas se me informa que tengo un credito disponible sin embargo al querer canjearlo me dice que no puedo;otros;prestamos;Sin categoría N3;neutral;26;Sí
buenos dias habria q mejorar en que apenas se abre la atencion todos lo cajeros deben estar optimos no a que se haga cola por que de tres cajeros que hay solo uno funciona;otros;agencias;capacidad de solucion;positivo;34;Sí
debe ser mas facil;otros;Sin categoría N2;Sin categoría N3;positivo;4;Sí
mas rapida;noespecifica;Sin categoría N2;Sin categoría N3;neutral;2;Sí
siempre deben detallar las promociones y el saldo o movimiento de mi cuenta;funcionalidad;operaciones;no puede realizar consultas;neutral;13;Sí
tasa muy alta;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;3;Sí
sale error cuando haces una trasferencia pero cuando verificas si se hizo el pago por ese motivo se hizo dos veces el deposito presenta muchos fallos;otros;bloqueo de cuenta;Sin categoría N3;negativo;26;Sí
he querido hacer un pago con la banca digital y ha sido rechazada mi transaccion 3 veces el bcp 265 me atendio y no soluciono nada me acerque a plataforma y tampoco soluciono nada ha sido una decepcion tienen que mejorar urgente;otros;reclamos;Sin categoría N3;neutral;42;Sí
enviar notificaciones sobre empresas que cobran servicios que no recuerdo aver solicitado;funcionalidad;inestabilidad;mantenimiento;neutral;12;Sí
mejoria en todo sentido;noespecifica;Sin categoría N2;Sin categoría N3;neutral;4;Sí
a;noespecifica;Sin categoría N2;Sin categoría N3;neutral;1;Sí
no dejarse;noespecifica;Sin categoría N2;Sin categoría N3;neutral;2;Sí
porque cobran cuando uno quiere recuperar su tarjeta;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;8;Sí
no pude realizar la operacion por bca internet dice estamos trabajando;funcionalidad;operaciones;Sin categoría N3;neutral;11;Sí
la atencion es muy lenta en horas punta deberian atender todos las ventanillas y debe haber personal que de orientacion a las personas;otros;agencias;Sin categoría N3;neutral;23;Sí
en nada todo conforme;otros;comentarios positivos;Sin categoría N3;neutral;4;Sí
me bloquearon mi tarjeta y no puedo ver mi saldo ni me dicen cuandome van a solucionar eso;seguridad;movimientos no reconocidos;Sin categoría N3;neutral;18;Sí
hasta el quek;noespecifica;Sin categoría N2;Sin categoría N3;neutral;3;Sí
en todo;noespecifica;Sin categoría N2;Sin categoría N3;neutral;2;Sí
el asistente virtual no entiende exactamente lo que necesito;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;9;Sí
buenas tardes los billetes son rechazados y demora mucho;funcionalidad;inestabilidad;lentitud;neutral;9;Sí
ya se les comente pero me pidio volver a escribirlo lo siento pero no tengo tiempo;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;16;Sí
a cada rato esta 3n mantenimiento;funcionalidad;inestabilidad;mantenimiento;neutral;6;Sí
fluides;noespecifica;Sin categoría N2;Sin categoría N3;neutral;1;Sí
rapidez;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;1;Sí
no se puede pedir un prestamo personal por banca movil y me sale una opcion de prestamo lupe cuando yo no tengo ruc y mucho menos una mypepequena empresa arregle su plataforma;otros;prestamos;no hay campanas;neutral;32;Sí
en seguridad en el banco no de aver celular por que con ello hacen extorsiones;seguridad;prevencion de fraudes;Sin categoría N3;neutral;15;Sí
facilitar los pagos por internet;funcionalidad;operaciones;Sin categoría N3;neutral;5;Sí
no me permite activar la opcion de compras por internet mediante la aplicacion;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;13;Sí
mayor tiempo sin que se cierre;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;6;Sí
los cajeros automaticos de los bancos en especial el que esta en julio c tello cuadra 9 no funcionan adecuadamente estando abierto las oficinas del banco sin embargo no hay dinero suficiente no hay billetes de 50 soles los cajeros para deposito estan totalmente malogrados y supuestamente no hace mucho lo repararon esa agencia merece mejor atencion por parte de sus directores;otros;cajero;no billetes chicos;neutral;62;Sí
considero que deben tener las mismas politicas como maneja sus operaciones bancarias el scotiabanck hey tratado de habituarme al bcp pero siempre veo que cobran por todo y que trae mas complicaciones realizar operaciones o pagos;funcionalidad;operaciones;Sin categoría N3;neutral;36;Sí
atencion mas rapida;otros;reclamos;Sin categoría N3;neutral;3;Sí
no pude realizar transferencias interbancarias;funcionalidad;operaciones;Sin categoría N3;neutral;5;Sí
buenos dias una mas seria que tenga una opcion de detectar la huella dactilar del titular para poder entrar al app del bcp;funcionalidad;login;Sin categoría N3;neutral;23;Sí
en todo;noespecifica;Sin categoría N2;Sin categoría N3;neutral;2;Sí
deberia agruparse mejor las secciones;diseno;ubicacion de funcionalidades;Sin categoría N3;positivo;5;Sí
brindan mala informacion se demora mucho;funcionalidad;inestabilidad;lentitud;negativo;6;Sí
en la comision es demasiado lo que cobran;tarifas;comision;Sin categoría N3;neutral;8;Sí
la app debe estar activa 724 en sucesivas ocasiones se cae causando malestar e incomodidad;funcionalidad;token;no puede activar;neutral;15;Sí
exelente;otros;comentarios positivos;Sin categoría N3;neutral;1;Sí
poner mas agentes;otros;Sin categoría N2;Sin categoría N3;neutral;3;Sí
token digital no funciona;funcionalidad;token;no funciona;neutral;4;Sí
bueno en la oficina del bcp del cusco solo habia un personal para la atencion del cliente entonces se demoro la atencion a los usuarios;otros;agencias;Sin categoría N3;neutral;25;Sí
por que me cobearon mantenimiento 2 meses seguidos no estoy de acuerdo;funcionalidad;inestabilidad;mantenimiento;neutral;12;Sí
no ayudan;noespecifica;Sin categoría N2;Sin categoría N3;neutral;2;Sí
sigo esperando que me atiendan;noespecifica;Sin categoría N2;Sin categoría N3;neutral;5;Sí
no funciona cuando quiero hacer cambios de clave o activar compras por internet;funcionalidad;login;Sin categoría N3;neutral;13;Sí
pongan reconocimiento facial como tiene el bbva y casi todo los otros bancos;seguridad;movimientos no reconocidos;Sin categoría N3;neutral;13;Sí
ok;noespecifica;Sin categoría N2;Sin categoría N3;neutral;1;Sí
mejorar la velocidad del funcionamiento del app disenar una imagen mas clara como constancia de operacion exitosa;funcionalidad;constancias;Sin categoría N3;neutral;17;Sí
que haya mas cajeros operativos y menos cola al ingreso;otros;agencias;Sin categoría N3;neutral;10;Sí
que se pueda pagar las letras y facturas solamente los lunes acepta hoy me toca pagar una letra y no se puede tendre q ir al banco;tarifas;Sin categoría N2;Sin categoría N3;neutral;27;Sí
en todo;noespecifica;Sin categoría N2;Sin categoría N3;neutral;2;Sí
no solucionaron mi problema me derivaron de un lado a otro y nadie se hizo cargo;funcionalidad;detalle de movimiento;Sin categoría N3;negativo;16;Sí
todo excelente;otros;comentarios positivos;Sin categoría N3;positivo;2;Sí
actualizacion inmediata de saldo despues de cada operacion;funcionalidad;operaciones;no puede realizar servicing;neutral;8;Sí
no presionar a la asesora del bancopara que atienda a mas clientes le llaman muchos clientes minimo tienen que ser 2 asesores;otros;agencias;Sin categoría N3;neutral;22;Sí
en no cobrar el seguro a gente pobre como ami por ejemplo;seguridad;Sin categoría N2;Sin categoría N3;neutral;12;Sí
casi nunca me deja realizar transferencia;funcionalidad;operaciones;Sin categoría N3;neutral;6;Sí
muy bien;noespecifica;Sin categoría N2;Sin categoría N3;positivo;2;Sí
se sacaron mis 20 soles;seguridad;Sin categoría N2;Sin categoría N3;neutral;5;Sí
no cobrar comisiones y ni tfi;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;6;Sí
0;noespecifica;Sin categoría N2;Sin categoría N3;neutral;1;Sí
ninguna tuve que el problema que deposite 2 veces a la misma persona no se si era mi internet porque el aplicativo se cerro inesperadamente y volvi hacer la transaccion pensado que no hizo la operacion de pago a esa persona;otros;agencias;Sin categoría N3;negativo;41;Sí
cobran hasta por ingresar a los cajeros son una;funcionalidad;login;no puede ingresar;neutral;9;Sí
mejor informacion al cliente;otros;informacion;falta de informacion;positivo;4;Sí
que no se paralice ni se cuelgue cusndo menos esperamos pero de ahi todo bien;Sin categoría N1;Sin categoría N2;Sin categoría N3;neutral;15;Sí
no logro hacer transferencias;funcionalidad;operaciones;no puede realizar no especificado;neutral;4;Sí
estoy;noespecifica;Sin categoría N2;Sin categoría N3;neutral;1;Sí
no acostumbro recomendar a nadie;noespecifica;Sin categoría N2;Sin categoría N3;neutral;5;Sí
muy lento sistema;funcionalidad;inestabilidad;lentitud;negativo;3;Sí
su identificador deberia de actualizarse o dar otra alternativa para activar el token digital;funcionalidad;token;no puede activar;neutral;14;Sí
que funcione la opcion del pago de servicios ofrecen la promocion y no se puede realizar pagos a luz del sur;funcionalidad;operaciones;no puede realizar no especificado;neutral;21;Sí
no pude hacer la transferencia de dinero que necesitaba;funcionalidad;operaciones;Sin categoría N3;neutral;9;Sí
que respondan las comunicaciones;otros;centro de contacto;Sin categoría N3;neutral;4;Sí
dar mas facilidaddes;noespecifica;Sin categoría N2;Sin categoría N3;neutral;3;Sí
mostrar todo lo que se cobra al pagar con la tarjeta debito al hacer el cambio de dolar a soles en terminos de compras en el exterior;funcionalidad;detalle de movimiento;Sin categoría N3;neutral;27;Sí
mejorar que refleje el nombre a quien se esta pagando;diseno;Sin categoría N2;Sin categoría N3;neutral;10;Sí
no deberian llava una asistente virtual o llamar con nuneros desconocidos;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;11;Sí
frecuentemente el tipo de cambio en la app no se refleja con el actual a veces el precio del dolar baja de manera repentina pero en la app no se actualiza despues de un dia por ello tengo que recurrir a otras entidades para cambiar soles a dolares;tarifas;tipo de cambio;Sin categoría N3;neutral;48;Sí
en nada;otros;comentarios genericos;Sin categoría N3;neutral;2;Sí
no cobren comision;tarifas;comision;Sin categoría N3;neutral;3;Sí
capacitar profesionalmente y psicologicamente a este tipo de personal nada empatizo ni menos profesional;otros;agencias;Sin categoría N3;neutral;14;Sí
bueno la verdad en nada me ayudaron bastante y fue suficiente;otros;comentarios positivos;Sin categoría N3;neutral;11;Sí
en general es algo inseguro el sistema de bcp la vez pasada me quitaron dinero de mi anterior cuenta de la nada salia movimientos de la apple store y yo ni siquiera tengo un equipo de apple por suerte se soluciono todo pero me quede con la inseguridad que brindaba bcp aun asi gracias pues no modo;funcionalidad;no permite instalar app;Sin categoría N3;neutral;57;Sí
el acceso con huella digital a la aplicacion aun no esta habilitado y tampoco el poder obtener numero de token sin salir de la aplicacion para realizar pagos de servicios;funcionalidad;token;Sin categoría N3;neutral;30;Sí
no me deja hacer compras en linea y ya desactive el token;funcionalidad;token;no funciona;neutral;12;Sí
en horas de la noche suele salir error cuando hago un yape mejorar eso plis;funcionalidad;inestabilidad;mantenimiento;neutral;15;Sí
en no robarme mi dinero;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;5;Sí
no se puede adquirir tarjeta de credito con garantia por la aplicacion;otros;prestamos;Sin categoría N3;neutral;12;Sí
hubo un error al momento de realizar un pago desde mi tarjeta de debito hacia mi tarjeta diners y el dinero se desconto pero no llego al banco destino y hasta ahora no me devuelven;tarifas;comision;Sin categoría N3;negativo;35;Sí
agilizar;noespecifica;Sin categoría N2;Sin categoría N3;neutral;1;Sí
aun no me llega el reembolso del extorno de una transaccion;funcionalidad;constancias;no llega;neutral;11;Sí
sorteos;otros;promociones ofertas o sorteos;Sin categoría N3;neutral;1;Sí
avisar cuando o a q hora se realizan los mantenimientos de la aplicacion o sistema en las noches;funcionalidad;inestabilidad;mantenimiento;neutral;18;Sí
la clave dinamica y las notificaciones en tiempo real;funcionalidad;token;dependencia;neutral;9;Sí
deberian despedir a todos sus programadores porque por culpa de ellos me cobraron un interes demasiado alto a raiz de una falla del sistema;funcionalidad;inestabilidad;Sin categoría N3;negativo;24;Sí
en disponibilidad de agentes bcp;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;5;Sí
la asesora virtual clara te pone muchas trabas;otros;agencias;Sin categoría N3;neutral;8;Sí
en la hora a veces demoran en atender;otros;agencias;tiempo de espera;neutral;8;Sí
en que los agentes tenga mas dinero cuando va retirar;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;10;Sí
que la transaccion se realizara en las 24 horas siguientes;funcionalidad;operaciones;Sin categoría N3;neutral;10;Sí
informen;noespecifica;Sin categoría N2;Sin categoría N3;neutral;1;Sí
la aplicacion yape es un gran problema;funcionalidad;operaciones;Sin categoría N3;negativo;7;Sí
se me borro una cuanta bancaria en mi banca movil;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;10;Sí
que sea mas sencillo;diseno;amigable;Sin categoría N3;positivo;4;Sí
las contrasenas digital por internet son simples utilizan solo numeros deberian permitir uso de simbolos oh letras tambien;funcionalidad;login;Sin categoría N3;neutral;18;Sí
en todo es una aplicacion poco utilizada ya que ni siquiera me dejaba activar mi token y en el mismo banco me dijeron que solo podia hacerlo por la banca movil;tarifas;Sin categoría N2;Sin categoría N3;neutral;31;Sí
simplicidad en la comunicacion;otros;centro de contacto;Sin categoría N3;neutral;4;Sí
darnos a los mas jovenes tambien la tarjeta de credito;otros;prestamos;Sin categoría N3;neutral;10;Sí
me mandas correos de otros no me llamo miguel;otros;Sin categoría N2;Sin categoría N3;neutral;9;Sí
el cobro de mantenimiento y otras cosas son muy caras;tarifas;comision;Sin categoría N3;neutral;10;Sí
ah no mentir;noespecifica;Sin categoría N2;Sin categoría N3;neutral;3;Sí
muchas veces no hay acceso o falla eso deben mejorar;funcionalidad;token;no funciona;neutral;10;Sí
es muy lento;funcionalidad;inestabilidad;lentitud;negativo;3;Sí
informar rapido al gmail pkvse cobraron de un seguro k no pedi;seguridad;Sin categoría N2;Sin categoría N3;neutral;12;Sí
muy mala atencion me pudieron ayudar en ese momento pero me dijeron que todo lo haga por la banca por internet;otros;reclamos;Sin categoría N3;negativo;21;Sí
si;noespecifica;Sin categoría N2;Sin categoría N3;neutral;1;Sí
cambieme el ceptorista no me resuelve ingrid bardon eirl 20600167988;Sin categoría N1;Sin categoría N2;Sin categoría N3;neutral;10;Sí
mas accesible su presentacion;diseno;amigable;Sin categoría N3;neutral;4;Sí
x;noespecifica;Sin categoría N2;Sin categoría N3;neutral;1;Sí
es muy lenta el sistema y en muchas ocasiones falla;funcionalidad;inestabilidad;Sin categoría N3;negativo;10;Sí
agregar mas opciones para no hacercarme a ventanilla;otros;agencias;Sin categoría N3;neutral;8;Sí
4;noespecifica;Sin categoría N2;Sin categoría N3;neutral;1;Sí
disponibilidad 24hrs sin errores;otros;Sin categoría N2;Sin categoría N3;neutral;4;Sí
en el tiempo de atencion el robot que atiende no es eficiente;otros;reclamos;Sin categoría N3;neutral;12;Sí
no me devuelven mi dinero desde el 1101;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;8;Sí
si quieren que inviertan mas personas deberian poner un lugar donde ahorrar y que las ganancias no sean tan pocas para agregar mi dinero ahi y que crezca;otros;agencias;Sin categoría N3;neutral;28;Sí
al momento esta todo dentro de lo mencionable osea esta bien;otros;comentarios genericos;Sin categoría N3;neutral;11;Sí
por el lomento esta bien es rapido y seguro;seguridad;Sin categoría N2;Sin categoría N3;positivo;9;Sí
en la disponibilidad al cliente;otros;Sin categoría N2;Sin categoría N3;neutral;5;Sí
cumplir lo que ofrecen;noespecifica;Sin categoría N2;Sin categoría N3;neutral;4;Sí
se colgo y no me permitio hacer un pago urgente;funcionalidad;operaciones;Sin categoría N3;neutral;10;Sí
demora crear wardadito;funcionalidad;inestabilidad;lentitud;neutral;3;Sí
los cobros x retiro en cajero automatico son demasiado altos aparte de kse cobra x una transacion en el cajero uds en mi estado de cuenta me vuelven a cobrar aparte k los intereses k me depositan x la cantidad de dinero k tengo ahorrado en dolares es infima x no decir casi nada;funcionalidad;detalle de movimiento;Sin categoría N3;neutral;54;Sí
son tan definidas;noespecifica;Sin categoría N2;Sin categoría N3;neutral;3;Sí
en todo;noespecifica;Sin categoría N2;Sin categoría N3;neutral;2;Sí
en promociones;otros;promociones ofertas o sorteos;Sin categoría N3;neutral;2;Sí
no tengo tarjeta de credito ni prestamos porque no me lo quieren dar sin eso no hay de opinar;otros;prestamos;no hay campanas;neutral;19;Sí
mejor atencion;otros;reclamos;Sin categoría N3;positivo;2;Sí
por ahora todo bien;noespecifica;Sin categoría N2;Sin categoría N3;positivo;4;Sí
realize depocito el 32025 dinero y hasta ahora ustedes no me comunican q el dinero esta en mi cuenta el banco por el cual les envie el dinero me dijo q ustedes ya lo tienen oero sin embargo no lo veo reflejado en mi cuenta entobces pexiria ka velocidad de la transaccion gracias;tarifas;comision;Sin categoría N3;neutral;53;Sí
es un mierda;noespecifica;Sin categoría N2;Sin categoría N3;neutral;3;Sí
deberia de haber mas trabajadores para que ocupen toda las ventanillas y asi haya menos cola al momento de ingresar y no esperar 2 a 3 horas para que nos atiendan;otros;agencias;tiempo de espera;neutral;31;Sí
sigan siendo atentos con los clientes;otros;Sin categoría N2;Sin categoría N3;neutral;6;Sí
es poco practico solo tiene buena presentacion pero no es practico deberia evitar que el cliente tenga que ir al banco;tarifas;Sin categoría N2;Sin categoría N3;positivo;21;Sí
creo que deberia continuar con la anterior demostracion de las cuentas;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;11;Sí
disponibilidad de dolares;tarifas;tipo de cambio;Sin categoría N3;neutral;3;Sí
8;noespecifica;Sin categoría N2;Sin categoría N3;neutral;1;Sí
no funciona;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;2;Sí
en varias oportunidades he intentado hacer transferencias y me sale un mensaje de error lo que me obliga a ir a un agente o sucursal para realizar la transferencia lo que me genera perdida de tiempo en el trabajo;otros;bloqueo de cuenta;Sin categoría N3;negativo;39;Sí
hice mi reclamo de un movimiento de dinero no reconocido y no hay respuesta hasta el dia de hoy;seguridad;movimientos no reconocidos;Sin categoría N3;negativo;19;Sí
llevo horas tratando de pagar un servicio y al momento de poner el codigo de servicio que indica que es mi dni me sale que es incorrecto ya no se que hacer;funcionalidad;operaciones;no puede realizar monetarias;neutral;32;Sí
que haya un buen funcionamiento en cuanto a las configuraciones visualizacion de datos activacion de opciones como las de compras por internet en lugar de que solo aparezca error;funcionalidad;token;no funciona;negativo;29;Sí
todo;noespecifica;Sin categoría N2;Sin categoría N3;neutral;1;Sí
no solucionan el problema;funcionalidad;Sin categoría N2;Sin categoría N3;negativo;4;Sí
coloquen personal demasiado tiempo de espera sino no den esa opcion;otros;agencias;tiempo de espera;neutral;11;Sí
muy lento;funcionalidad;inestabilidad;lentitud;negativo;2;Sí
bueno en cuanto a las transferencias con el cci no deberian cobrar como lo hacen otras como mibanco por ejemplo por el resto no tengo problema;funcionalidad;operaciones;Sin categoría N3;neutral;26;Sí
la grabadora no entiende lo q se le solicita;otros;Sin categoría N2;Sin categoría N3;neutral;9;Sí
no puedo realizar deposito;otros;cajero;Sin categoría N3;neutral;4;Sí
me ofrecen un incremento de linea pero la app no me deja efectuarla;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;13;Sí
en que pueda pagar con el qr;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;7;Sí
en todo;noespecifica;Sin categoría N2;Sin categoría N3;neutral;2;Sí
mas rapida la atencion al publico;otros;reclamos;Sin categoría N3;neutral;6;Sí
en todo;noespecifica;Sin categoría N2;Sin categoría N3;neutral;2;Sí
no me permiten cerrar mi cuent ahora debo ir al banco la aplicacion debe facilitar asi no ayuda en nada;tarifas;Sin categoría N2;Sin categoría N3;neutral;20;Sí
el establecimiento mc donals y otros obligan a pagar con yape a pesar de querer usar la cuenta del banco con la aplicacion por eso dejo de comprar por la infidencia de ver saldos en la cuenta;otros;agencias;Sin categoría N3;neutral;37;Sí
no sirve su huevada;funcionalidad;Sin categoría N2;Sin categoría N3;neutral;4;Sí
me cobraron comision adelantada;tarifas;comision;Sin categoría N3;neutral;4;Sí
en nada son los mejores;otros;comentarios genericos;Sin categoría N3;neutral;5;Sí
no hay atencion en los cajeros retiro solo un habilitado para mucha gente y los demas sin efectivo;funcionalidad;operaciones;Sin categoría N3;neutral;18;Sí
ya son 3 meses que no puedo vincular mi tarjeta de credito al aplicativo en mi celular y siempre es lo mismo presente una queja y luego lo atenderemos y hasta ahora nada una cagad;otros;prestamos;Sin categoría N3;negativo;35;Sí
cobran mucho por cada transaccion bancaria;funcionalidad;detalle de movimiento;Sin categoría N3;neutral;6;Sí
quise hacer pagos desde hace dos dias y no me permitia realizar dichos pagos y menos hacer transferencias me salia la notificacion de que en estos momentos estan teniendo problemas;funcionalidad;notificaciones;Sin categoría N3;negativo;30;Sí
siempre hay errores;noespecifica;Sin categoría N2;Sin categoría N3;neutral;3;Sí
el personal en general desde vigilancia es muy soberbio en la atencion;otros;agencias;Sin categoría N3;neutral;12;Sí
son descorteses;noespecifica;Sin categoría N2;Sin categoría N3;neutral;2;Sí
la app no tiene fallos sin embargo hace aproximadamente 15 dias por una transferencia interbancaria a una cuenta propia se cobro 11 soles de comision algo que ya habia desaparecido y en una hora prudente sabado mediodia por tarifas asi de arbitrarias es que trato de evitar el uso de la app;funcionalidad;operaciones;Sin categoría N3;neutral;52;Sí
